"","id","stage","prueba","cuadrante_so","cuadrante_se","cuadrante_ne","cuadrante_no","zona_ne","zona_so","zona_blanco","cruces_blanco","cruces_ne","cruces_so","eficiencia_ne","eficiencia","eficiancia_so","latencia","distancia","velocidad","distancia_media_blanco","distancia_annulus_ne","distancia_annulus_so","tiempo","dia","tratamientos"
"1015","CSK_g1_1","entrenamiento_4","Entr_4",0,1.7,4.3,0,4,0,NA,NA,1,0,0.691,0.691,NA,6.1,0.565,0.093,NA,0.167,0.548,3.75,3,"Sal-CUMS-K"
"1016","CSK_g1_2","entrenamiento_4","Entr_4",0,0,3.2,0.7,2.5,0,NA,NA,1,0,0.96,0.96,NA,3.9,0.464,0.119,NA,0.245,0.68,3,3,"Sal-CUMS-K"
"1017","CSK_g1_2","entrenamiento_4","Entr_4",5,4.7,6.1,1.7,2.9,1.1,NA,NA,1,0,0.236,0.236,NA,17.4,3.452,0.198,NA,0.495,0.461,3.25,3,"Sal-CUMS-K"
"1018","CSK_g1_2","entrenamiento_4","Entr_4",2.8,5.6,6.4,5.4,3.6,1.7,NA,NA,1,0,0.139,0.139,NA,20.1,4.824,0.24,NA,0.443,0.48,3.5,3,"Sal-CUMS-K"
"1019","CSK_g1_2","entrenamiento_4","Entr_4",2.5,7.3,11.6,2.6,6.1,1.2,NA,NA,1,0,0.128,0.128,NA,24,4.909,0.204,NA,0.339,0.546,3.75,3,"Sal-CUMS-K"
"1020","CSK_g1_3","entrenamiento_4","Entr_4",2.2,0,5.2,2.3,2.5,1.3,NA,NA,1,0,0.192,0.192,NA,9.7,1.698,0.175,NA,0.309,0.467,3,3,"Sal-CUMS-K"
"1021","CSK_g1_3","entrenamiento_4","Entr_4",0,3.1,12.7,2.1,9.8,0,NA,NA,1,0,0.151,0.151,NA,17.8,2.993,0.168,NA,0.179,0.618,3.25,3,"Sal-CUMS-K"
"1022","CSK_g1_3","entrenamiento_4","Entr_4",2.9,1.9,9.9,0.4,7.4,1.9,NA,NA,1,1,0.249,0.249,0.642,15,2.962,0.197,NA,0.284,0.542,3.5,3,"Sal-CUMS-K"
"1023","CSK_g1_3","entrenamiento_4","Entr_4",2.3,0,2.9,1,2.7,0.6,NA,NA,1,0,0.886,0.886,NA,6.3,0.936,0.15,NA,0.503,0.411,3.75,3,"Sal-CUMS-K"
"1024","CSK_g1_4","entrenamiento_4","Entr_4",1.7,2.2,5.6,4.6,3.3,1.3,NA,NA,1,1,0.125,0.125,0.304,14.1,3.221,0.229,NA,0.327,0.442,3,3,"Sal-CUMS-K"
"1025","CSK_g1_4","entrenamiento_4","Entr_4",2.9,3.3,7.6,4.5,6.4,1.4,NA,NA,1,1,0.103,0.103,0.221,18.2,4.199,0.23,NA,0.333,0.469,3.25,3,"Sal-CUMS-K"
"1026","CSK_g1_4","entrenamiento_4","Entr_4",4.4,1.9,7.2,2.4,5.6,2.5,NA,NA,1,1,0.211,0.211,0.086,15.8,3.671,0.232,NA,0.389,0.445,3.5,3,"Sal-CUMS-K"
"1027","CSK_g1_4","entrenamiento_4","Entr_4",4.1,2.1,6.8,2.9,3.8,1.8,NA,NA,1,1,0.195,0.195,0.053,16,4.254,0.266,NA,0.399,0.5,3.75,3,"Sal-CUMS-K"
"1028","CSK_g2_1","entrenamiento_1","Entr_1",16.7,22.1,12,9.2,3.3,5.8,NA,NA,1,1,0.034,0.034,0.073,60,13.81,0.23,NA,0.515,0.462,0,0,"Sal-CUMS-K"
"1029","CSK_g2_1","entrenamiento_1","Entr_1",8.9,2,9.4,4.6,4.3,3.8,NA,NA,1,2,0.172,0.172,0.473,24.9,4.701,0.189,NA,0.459,0.475,0.25,0,"Sal-CUMS-K"
"1030","CSK_g2_1","entrenamiento_1","Entr_1",1.8,1.5,3.3,1.3,3,0.1,NA,NA,1,0,0.63,0.63,NA,7.9,1.136,0.144,NA,0.386,0.389,0.5,0,"Sal-CUMS-K"
"1031","CSK_g2_1","entrenamiento_1","Entr_1",15.8,13.6,23.4,7.2,7.6,4.3,NA,NA,0,0,NA,NA,NA,60,12.37,0.206,NA,0.423,0.492,0.75,0,"Sal-CUMS-K"
"1032","CSK_g2_2","entrenamiento_1","Entr_1",11.9,6.6,12.9,28.6,1.4,4.5,NA,NA,0,1,NA,NA,0.137,60,11.994,0.2,NA,0.509,0.512,0,0,"Sal-CUMS-K"
"1033","CSK_g2_2","entrenamiento_1","Entr_1",4.4,2.3,8.4,3.5,5,1.7,NA,NA,1,1,0.238,0.238,0.748,18.6,2.826,0.152,NA,0.318,0.373,0.25,0,"Sal-CUMS-K"
"1034","CSK_g2_2","entrenamiento_1","Entr_1",0,3.3,8.5,4,4.8,0,NA,NA,1,0,0.205,0.205,NA,15.7,2.357,0.15,NA,0.287,0.662,0.5,0,"Sal-CUMS-K"
"1035","CSK_g2_2","entrenamiento_1","Entr_1",8.8,16.1,18.4,16.7,6.1,5.2,NA,NA,0,3,NA,NA,0.114,60,13.538,0.226,NA,0.415,0.505,0.75,0,"Sal-CUMS-K"
"1036","CSK_g2_3","entrenamiento_1","Entr_1",4.1,17,19,19.9,3.3,0.7,NA,NA,0,0,NA,NA,NA,60,12.114,0.202,NA,0.443,0.651,0,0,"Sal-CUMS-K"
"1037","CSK_g2_3","entrenamiento_1","Entr_1",0,0,3.3,16,3,0,NA,NA,1,0,0.264,0.264,NA,19.3,2.903,0.15,NA,0.514,0.565,0.25,0,"Sal-CUMS-K"
"1038","CSK_g2_3","entrenamiento_1","Entr_1",0,0.5,9.5,8,3,0,NA,NA,1,0,0.166,0.166,NA,18,2.64,0.146,NA,0.298,0.66,0.5,0,"Sal-CUMS-K"
"1039","CSK_g2_3","entrenamiento_1","Entr_1",9.3,13.8,23,13.9,6.7,2.1,NA,NA,0,0,NA,NA,NA,60,12.322,0.205,NA,0.386,0.539,0.75,0,"Sal-CUMS-K"
"1040","CSK_g2_4","entrenamiento_1","Entr_1",0,2.8,12.2,0,4.2,0,NA,NA,1,0,0.151,0.151,NA,15,2.4,0.16,NA,0.232,0.749,0,0,"Sal-CUMS-K"
"1041","CSK_g2_4","entrenamiento_1","Entr_1",30.2,7.6,10.9,11.3,4.1,11.3,NA,NA,1,1,0.069,0.069,0.254,60,11.825,0.197,NA,0.593,0.387,0.25,0,"Sal-CUMS-K"
"1042","CSK_g2_4","entrenamiento_1","Entr_1",0,0,7.2,2.2,4.6,0,NA,NA,1,0,0.404,0.404,NA,9.4,1.213,0.129,NA,0.234,0.74,0.5,0,"Sal-CUMS-K"
"1043","CSK_g2_4","entrenamiento_1","Entr_1",15.8,19.5,13.8,11,3.7,4.1,NA,NA,0,0,NA,NA,NA,60,12.215,0.204,NA,0.512,0.448,0.75,0,"Sal-CUMS-K"
"1044","CK_g2_1","entrenamiento_1","Entr_1",0,0,7.2,0,2,0,NA,NA,1,0,0.427,0.427,NA,7.2,0.421,0.058,NA,0.179,0.776,0,0,"Ket-CUMS"
"1045","CK_g2_1","entrenamiento_1","Entr_1",0,10.8,30.7,18.5,1.5,0,NA,NA,0,0,NA,NA,NA,60,10.17,0.17,NA,0.338,0.671,0.25,0,"Ket-CUMS"
"1046","CK_g2_1","entrenamiento_1","Entr_1",1.7,4.3,16.9,8.6,8.4,0,NA,NA,2,0,0.62,0.62,NA,31.5,4.734,0.15,NA,0.344,0.605,0.5,0,"Ket-CUMS"
"1047","CK_g2_1","entrenamiento_1","Entr_1",1.7,0,4,10.9,3.4,0.4,NA,NA,1,0,0.217,0.217,NA,16.6,2.408,0.145,NA,0.491,0.487,0.75,0,"Ket-CUMS"
"1048","CK_g2_2","entrenamiento_1","Entr_1",6.7,7.3,21.3,20.9,3.2,1.2,NA,NA,1,0,0.039,0.039,NA,56.2,12.218,0.218,NA,0.45,0.62,0,0,"Ket-CUMS"
"1049","CK_g2_2","entrenamiento_1","Entr_1",16.1,6.7,8.8,28.5,0,3.8,NA,NA,0,1,NA,NA,0.063,60,12.457,0.208,NA,0.566,0.506,0.25,0,"Ket-CUMS"
"1050","CK_g2_2","entrenamiento_1","Entr_1",7.9,10.6,21.5,20.1,2,1.2,NA,NA,0,0,NA,NA,NA,60,8.998,0.15,NA,0.463,0.632,0.5,0,"Ket-CUMS"
"1051","CK_g2_2","entrenamiento_1","Entr_1",11.9,8.9,20.5,18.7,1.9,1,NA,NA,0,0,NA,NA,NA,60,8.531,0.142,NA,0.509,0.597,0.75,0,"Ket-CUMS"
"1052","CsK_g2_5","entrenamiento_1","Entr_1",20.7,13.6,10.9,14.8,2.4,7.2,NA,NA,0,2,NA,NA,0.134,60,12.985,0.216,NA,0.525,0.439,0,0,"Sal-CUMS-K"
"1053","CsK_g2_5","entrenamiento_1","Entr_1",8.8,9.9,19.4,21.9,7,0.8,NA,NA,0,0,NA,NA,NA,60,9.711,0.162,NA,0.414,0.514,0.25,0,"Sal-CUMS-K"
"1054","CsK_g2_5","entrenamiento_1","Entr_1",15.9,11.9,21.1,11.1,1.2,5.2,NA,NA,0,1,NA,NA,0.093,60,9.574,0.16,NA,0.469,0.549,0.5,0,"Sal-CUMS-K"
"1055","CsK_g2_5","entrenamiento_1","Entr_1",11.1,10.8,19,19.1,2.8,5.1,NA,NA,0,0,NA,NA,NA,60,9.102,0.152,NA,0.458,0.533,0.75,0,"Sal-CUMS-K"
"1056","CK_g2_3","entrenamiento_1","Entr_1",11.5,11.3,15.6,21.7,2.2,4.2,NA,NA,0,2,NA,NA,0.068,60,14.379,0.24,NA,0.487,0.544,0,0,"Ket-CUMS"
"1057","CK_g2_3","entrenamiento_1","Entr_1",7.8,2.6,21.8,27.8,6.7,3,NA,NA,0,0,NA,NA,NA,60,9.936,0.166,NA,0.387,0.529,0.25,0,"Ket-CUMS"
"1058","CK_g2_3","entrenamiento_1","Entr_1",5.5,5.3,10.7,5,5.5,2,NA,NA,1,0,0.092,0.092,NA,26.5,4.539,0.171,NA,0.413,0.548,0.5,0,"Ket-CUMS"
"1059","CK_g2_3","entrenamiento_1","Entr_1",0,5.3,11.9,0,5.3,0,NA,NA,1,0,0.213,0.213,NA,17.2,2.829,0.164,NA,0.272,0.675,0.75,0,"Ket-CUMS"
"1060","CK_g2_4","entrenamiento_1","Entr_1",19.1,12.4,11.2,17.2,3.6,4.6,NA,NA,2,1,0.657,0.657,0.365,60,11.743,0.196,NA,0.588,0.456,0,0,"Ket-CUMS"
"1061","CK_g2_4","entrenamiento_1","Entr_1",18.7,14.5,10.5,16.3,3.7,5.6,NA,NA,0,1,NA,NA,0.107,60,9.702,0.162,NA,0.548,0.46,0.25,0,"Ket-CUMS"
"1062","CK_g2_4","entrenamiento_1","Entr_1",14.3,6,6.9,12.9,5.4,7.1,NA,NA,1,1,0.08,0.08,0.48,40,5.019,0.125,NA,0.534,0.414,0.5,0,"Ket-CUMS"
"1063","CK_g2_4","entrenamiento_1","Entr_1",0,3.1,7.6,5.2,4.3,0,NA,NA,1,0,0.305,0.305,NA,15.8,2.382,0.15,NA,0.37,0.643,0.75,0,"Ket-CUMS"
"1064","CK_g2_5","entrenamiento_1","Entr_1",1.2,10.9,29.6,18.2,7.1,0,NA,NA,0,0,NA,NA,NA,60,8.796,0.147,NA,0.357,0.71,0,0,"Ket-CUMS"
"1065","CK_g2_5","entrenamiento_1","Entr_1",0.8,0,23.1,14.5,5.1,0,NA,NA,1,0,0.193,0.193,NA,38.4,4.214,0.11,NA,0.32,0.67,0.25,0,"Ket-CUMS"
"1066","CK_g2_5","entrenamiento_1","Entr_1",12.6,25.8,5.7,15.9,2.6,3,NA,NA,0,1,NA,NA,0.097,60,8.289,0.138,NA,0.549,0.516,0.5,0,"Ket-CUMS"
"1067","CK_g2_5","entrenamiento_1","Entr_1",18.1,13.5,14.2,14.2,2.8,3.7,NA,NA,0,0,NA,NA,NA,60,7.75,0.129,NA,0.482,0.457,0.75,0,"Ket-CUMS"
"1068","CSK_g2_1","entrenamiento_2","Entr_2",6.6,15.3,14,11.1,8.8,4.1,NA,NA,1,1,0.026,0.026,0.125,47,10.019,0.213,NA,0.388,0.461,1,1,"Sal-CUMS-K"
"1069","CSK_g2_1","entrenamiento_2","Entr_2",0,3.9,5.4,0,3.3,0,NA,NA,1,0,0.547,0.547,NA,9.2,1.298,0.14,NA,0.338,0.552,1.25,1,"Sal-CUMS-K"
"1070","CSK_g2_1","entrenamiento_2","Entr_2",6.2,4.5,16.8,3.5,10.4,4.2,NA,NA,1,0,0.121,0.121,NA,30.9,5.93,0.192,NA,0.303,0.451,1.5,1,"Sal-CUMS-K"
"1071","CSK_g2_1","entrenamiento_2","Entr_2",7.4,0,7,11.3,4.1,4.8,NA,NA,1,0,0.11,0.11,NA,25.7,4.088,0.159,NA,0.357,0.434,1.75,1,"Sal-CUMS-K"
"1072","CSK_g2_2","entrenamiento_2","Entr_2",0.9,6.1,3.2,0,2.6,0,NA,NA,1,0,0.177,0.177,NA,10.2,1.714,0.168,NA,0.382,0.5,1,1,"Sal-CUMS-K"
"1073","CSK_g2_2","entrenamiento_2","Entr_2",3.7,6.1,3.4,1.2,3,2.1,NA,NA,1,1,0.101,0.101,0.432,14.3,3.62,0.253,NA,0.471,0.422,1.25,1,"Sal-CUMS-K"
"1074","CSK_g2_2","entrenamiento_2","Entr_2",8.7,0,11.1,4.7,6.7,3.3,NA,NA,1,1,0.077,0.077,0.443,24.5,5.519,0.225,NA,0.377,0.455,1.5,1,"Sal-CUMS-K"
"1075","CSK_g2_2","entrenamiento_2","Entr_2",0,0,5.6,4.2,2.7,0,NA,NA,1,0,0.238,0.238,NA,9.7,1.93,0.198,NA,0.343,0.666,1.75,1,"Sal-CUMS-K"
"1076","CSK_g2_3","entrenamiento_2","Entr_2",0,0,10.8,0,5.9,0,NA,NA,1,0,0.169,0.169,NA,10.8,1.616,0.149,NA,0.145,0.733,1,1,"Sal-CUMS-K"
"1077","CSK_g2_3","entrenamiento_2","Entr_2",0,3.2,6.8,3.5,3.7,0,NA,NA,1,0,0.283,0.283,NA,13.4,2.664,0.199,NA,0.322,0.568,1.25,1,"Sal-CUMS-K"
"1078","CSK_g2_3","entrenamiento_2","Entr_2",0,0,6.7,2,4,0,NA,NA,1,0,0.185,0.185,NA,8.6,1.794,0.208,NA,0.265,0.678,1.5,1,"Sal-CUMS-K"
"1079","CSK_g2_3","entrenamiento_2","Entr_2",0,0,3.7,4.2,2.9,0,NA,NA,1,0,0.383,0.383,NA,7.9,1.256,0.159,NA,0.399,0.674,1.75,1,"Sal-CUMS-K"
"1080","CSK_g2_4","entrenamiento_2","Entr_2",9.1,17.4,23.2,10.3,6,3,NA,NA,0,1,NA,NA,0.062,60,13.881,0.231,NA,0.379,0.549,1,1,"Sal-CUMS-K"
"1081","CSK_g2_4","entrenamiento_2","Entr_2",2.6,5,12.3,4.3,3.2,1.2,NA,NA,1,0,0.127,0.127,NA,24.2,5.08,0.21,NA,0.337,0.565,1.25,1,"Sal-CUMS-K"
"1082","CSK_g2_4","entrenamiento_2","Entr_2",0,0.6,10.7,4,6,0,NA,NA,1,0,0.153,0.153,NA,15.2,2.971,0.195,NA,0.253,0.649,1.5,1,"Sal-CUMS-K"
"1083","CSK_g2_4","entrenamiento_2","Entr_2",0,0,7.9,3.3,4.9,0,NA,NA,1,0,0.276,0.276,NA,11.1,1.671,0.15,NA,0.229,0.642,1.75,1,"Sal-CUMS-K"
"1084","CK_g2_1","entrenamiento_2","Entr_2",0,1,7.5,0,6.5,0,NA,NA,1,0,0.647,0.647,NA,8.5,0.567,0.067,NA,0.143,0.682,1,1,"Ket-CUMS"
"1085","CK_g2_1","entrenamiento_2","Entr_2",0,9.2,8.9,6.3,4.6,0,NA,NA,1,0,0.173,0.173,NA,24.4,3.88,0.159,NA,0.336,0.544,1.25,1,"Ket-CUMS"
"1086","CK_g2_1","entrenamiento_2","Entr_2",0,0,10.6,6.2,8.2,0,NA,NA,1,0,0.183,0.183,NA,16.8,2.513,0.15,NA,0.269,0.603,1.5,1,"Ket-CUMS"
"1087","CK_g2_1","entrenamiento_2","Entr_2",0,0,4.5,2.9,3.9,0,NA,NA,1,0,0.703,0.703,NA,7.4,0.633,0.086,NA,0.236,0.665,1.75,1,"Ket-CUMS"
"1088","CK_g2_2","entrenamiento_2","Entr_2",0,2.2,5.7,0,3.9,0,NA,NA,1,0,0.298,0.298,NA,7.9,1.473,0.186,NA,0.231,0.677,1,1,"Ket-CUMS"
"1089","CK_g2_2","entrenamiento_2","Entr_2",14.5,16.3,14.6,14.6,2.6,1.9,NA,NA,0,1,NA,NA,0.138,60,15.005,0.25,NA,0.512,0.521,1.25,1,"Ket-CUMS"
"1090","CK_g2_2","entrenamiento_2","Entr_2",0,0,4.2,3.3,3.1,0,NA,NA,1,0,0.651,0.651,NA,7.5,1.119,0.148,NA,0.418,0.684,1.5,1,"Ket-CUMS"
"1091","CK_g2_2","entrenamiento_2","Entr_2",10.5,2.4,17.1,30,4.3,4,NA,NA,0,1,NA,NA,0.082,60,12.546,0.209,NA,0.422,0.531,1.75,1,"Ket-CUMS"
"1092","CsK_g2_5","entrenamiento_2","Entr_2",5.4,1.2,7.1,3.5,4.1,2.8,NA,NA,1,1,0.08,0.08,0.372,17.2,2.997,0.174,NA,0.458,0.457,1,1,"Sal-CUMS-K"
"1093","CsK_g2_5","entrenamiento_2","Entr_2",0,5.3,13.8,3.3,7.2,0,NA,NA,1,0,0.169,0.169,NA,22.4,4.015,0.179,NA,0.261,0.645,1.25,1,"Sal-CUMS-K"
"1094","CsK_g2_5","entrenamiento_2","Entr_2",3.1,3,8.7,4.9,4.5,0,NA,NA,2,0,0.173,0.173,NA,19.7,4.11,0.209,NA,0.375,0.551,1.5,1,"Sal-CUMS-K"
"1095","CsK_g2_5","entrenamiento_2","Entr_2",0,0,25.8,10.5,19.5,0,NA,NA,1,0,0.084,0.084,NA,36.3,6.454,0.178,NA,0.209,0.649,1.75,1,"Sal-CUMS-K"
"1096","CK_g2_3","entrenamiento_2","Entr_2",3.7,8,5.6,3.4,3.1,1.5,NA,NA,1,1,0.098,0.098,0.741,20.8,4.579,0.22,NA,0.493,0.492,1,1,"Ket-CUMS"
"1097","CK_g2_3","entrenamiento_2","Entr_2",12,5.9,15,5.1,6.8,6.5,NA,NA,1,1,0.086,0.086,0.039,38.1,8.787,0.231,NA,0.378,0.436,1.25,1,"Ket-CUMS"
"1098","CK_g2_3","entrenamiento_2","Entr_2",4.2,3.8,7.6,3.7,4.8,2.2,NA,NA,1,1,0.097,0.097,0.316,19.2,3.716,0.193,NA,0.433,0.479,1.5,1,"Ket-CUMS"
"1099","CK_g2_3","entrenamiento_2","Entr_2",10.3,5.6,17.3,7.6,10.9,7.3,NA,NA,1,3,0.063,0.063,0.964,40.7,7.998,0.197,NA,0.385,0.451,1.75,1,"Ket-CUMS"
"1100","CK_g2_4","entrenamiento_2","Entr_2",0,0.3,5.4,0,3.2,0,NA,NA,1,0,0.508,0.508,NA,5.7,0.556,0.098,NA,0.186,0.661,1,1,"Ket-CUMS"
"1101","CK_g2_4","entrenamiento_2","Entr_2",2.7,1.9,4.8,0.4,3.3,1.2,NA,NA,1,0,0.292,0.292,NA,9.8,1.93,0.197,NA,0.43,0.489,1.25,1,"Ket-CUMS"
"1102","CK_g2_4","entrenamiento_2","Entr_2",0.7,3.9,12.1,8.9,5,0,NA,NA,1,0,0.152,0.152,NA,25.6,4.893,0.191,NA,0.323,0.642,1.5,1,"Ket-CUMS"
"1103","CK_g2_4","entrenamiento_2","Entr_2",0,3.7,5.6,1.7,3.1,0,NA,NA,1,0,0.273,0.273,NA,11.1,1.902,0.172,NA,0.286,0.623,1.75,1,"Ket-CUMS"
"1104","CK_g2_5","entrenamiento_2","Entr_2",5.8,16.9,22.6,14.7,5.9,1.8,NA,NA,0,0,NA,NA,NA,60,14.812,0.247,NA,0.398,0.621,1,1,"Ket-CUMS"
"1105","CK_g2_5","entrenamiento_2","Entr_2",0,2.3,3.9,0,2.8,0,NA,NA,1,0,0.703,0.703,NA,6.2,0.846,0.136,NA,0.363,0.684,1.25,1,"Ket-CUMS"
"1106","CK_g2_5","entrenamiento_2","Entr_2",10.5,2.7,13.3,19.4,3.9,5.4,NA,NA,1,2,0.077,0.077,0.804,45.9,8.944,0.195,NA,0.441,0.502,1.5,1,"Ket-CUMS"
"1107","CK_g2_5","entrenamiento_2","Entr_2",0.3,7.6,16,5.3,9.1,0,NA,NA,1,0,0.081,0.081,NA,29.2,4.883,0.167,NA,0.241,0.546,1.75,1,"Ket-CUMS"
"1108","CSK_g2_1","entrenamiento_3","Entr_3",0,0,2,5.1,2,0,NA,NA,1,0,0.665,0.665,NA,7.1,0.594,0.084,NA,0.358,0.729,2,2,"Sal-CUMS-K"
"1109","CSK_g2_1","entrenamiento_3","Entr_3",2.3,0,11.5,5.3,9.4,1.9,NA,NA,1,0,0.052,0.052,NA,19.1,2.681,0.141,NA,0.252,0.514,2.25,2,"Sal-CUMS-K"
"1110","CSK_g2_1","entrenamiento_3","Entr_3",4.1,0,9.8,3.9,5.8,1.8,NA,NA,1,1,0.085,0.085,0.186,17.7,3.146,0.177,NA,0.317,0.425,2.5,2,"Sal-CUMS-K"
"1111","CSK_g2_1","entrenamiento_3","Entr_3",7.9,6.6,10,6.8,7.4,5.7,NA,NA,1,2,0.077,0.077,0.195,31.4,6.578,0.21,NA,0.388,0.445,2.75,2,"Sal-CUMS-K"
"1112","CSK_g2_2","entrenamiento_3","Entr_3",0,0,4.2,5.4,2.9,0,NA,NA,1,0,0.24,0.24,NA,9.6,1.395,0.145,NA,0.316,0.679,2,2,"Sal-CUMS-K"
"1113","CSK_g2_2","entrenamiento_3","Entr_3",15.2,18.2,13.2,13.5,3.6,5.4,NA,NA,0,2,NA,NA,0.041,60,14.05,0.234,NA,0.459,0.455,2.25,2,"Sal-CUMS-K"
"1114","CSK_g2_2","entrenamiento_3","Entr_3",0,3.9,5.7,0,4.4,0,NA,NA,1,0,0.439,0.439,NA,9.6,1.587,0.165,NA,0.326,0.607,2.5,2,"Sal-CUMS-K"
"1115","CSK_g2_2","entrenamiento_3","Entr_3",0,0,6.6,0,4.2,0,NA,NA,1,0,0.456,0.456,NA,6.6,0.78,0.118,NA,0.186,0.719,2.75,2,"Sal-CUMS-K"
"1116","CSK_g2_3","entrenamiento_3","Entr_3",0,1,5.5,0,4.7,0,NA,NA,1,0,0.53,0.53,NA,6.5,0.545,0.084,NA,0.121,0.654,2,2,"Sal-CUMS-K"
"1117","CSK_g2_3","entrenamiento_3","Entr_3",3.2,2.8,2.8,4.3,2.6,1,NA,NA,1,0,0.104,0.104,NA,13,3.484,0.268,NA,0.479,0.409,2.25,2,"Sal-CUMS-K"
"1118","CSK_g2_3","entrenamiento_3","Entr_3",0,0,11.4,5,2.9,0,NA,NA,1,0,0.089,0.089,NA,16.5,1.812,0.11,NA,0.241,0.675,2.5,2,"Sal-CUMS-K"
"1119","CSK_g2_3","entrenamiento_3","Entr_3",2.4,3,5.6,0.7,3.8,0.9,NA,NA,1,0,0.158,0.158,NA,11.8,2.541,0.216,NA,0.377,0.486,2.75,2,"Sal-CUMS-K"
"1120","CSK_g2_4","entrenamiento_3","Entr_3",2.2,1.7,9.1,14.8,4.8,1.1,NA,NA,1,0,0.135,0.135,NA,27.8,5.714,0.205,NA,0.413,0.476,2,2,"Sal-CUMS-K"
"1121","CSK_g2_4","entrenamiento_3","Entr_3",0,0,5.8,0,4.5,0,NA,NA,1,0,0.481,0.481,NA,5.8,0.603,0.103,NA,0.126,0.683,2.25,2,"Sal-CUMS-K"
"1122","CSK_g2_4","entrenamiento_3","Entr_3",3.4,5.2,9.8,0,7,2.1,NA,NA,2,0,0.382,0.382,NA,18.4,3.04,0.165,NA,0.359,0.448,2.5,2,"Sal-CUMS-K"
"1123","CSK_g2_4","entrenamiento_3","Entr_3",0,0,6,1,2.8,0,NA,NA,1,0,0.508,0.508,NA,7,0.773,0.11,NA,0.236,0.729,2.75,2,"Sal-CUMS-K"
"1124","CK_g2_1","entrenamiento_3","Entr_3",13.3,1.2,3.3,0.8,2.7,9.9,NA,NA,1,0,0.397,0.397,NA,18.6,1.643,0.088,NA,0.469,0.217,2,2,"Ket-CUMS"
"1125","CK_g2_1","entrenamiento_3","Entr_3",0,5.1,7.2,0,5.6,0,NA,NA,1,0,0.572,0.572,NA,12.4,1.198,0.097,NA,0.301,0.426,2.25,2,"Ket-CUMS"
"1126","CK_g2_1","entrenamiento_3","Entr_3",6,10.4,11,0,8.4,3.3,NA,NA,1,0,0.139,0.139,NA,27.3,4.331,0.158,NA,0.392,0.45,2.5,2,"Ket-CUMS"
"1127","CK_g2_1","entrenamiento_3","Entr_3",0,0,4.9,2.1,3.4,0,NA,NA,1,0,0.351,0.351,NA,7,0.925,0.133,NA,0.22,0.51,2.75,2,"Ket-CUMS"
"1128","CK_g2_2","entrenamiento_3","Entr_3",0.4,0.3,7.5,5,4.8,0,NA,NA,3,0,0.345,0.345,NA,13.3,1.664,0.125,NA,0.285,0.516,2,2,"Ket-CUMS"
"1129","CK_g2_2","entrenamiento_3","Entr_3",2.7,2.1,6,4.4,2.8,1.8,NA,NA,1,0,0.118,0.118,NA,15.2,2.955,0.194,NA,0.439,0.532,2.25,2,"Ket-CUMS"
"1130","CK_g2_2","entrenamiento_3","Entr_3",3.1,3.3,6.3,5.1,4.1,1,NA,NA,1,0,0.225,0.225,NA,17.8,3.485,0.196,NA,0.449,0.52,2.5,2,"Ket-CUMS"
"1131","CK_g2_2","entrenamiento_3","Entr_3",15,2,22.5,15.6,10.3,5.9,NA,NA,1,1,0.041,0.041,0.104,55.1,10.821,0.196,NA,0.422,0.484,2.75,2,"Ket-CUMS"
"1132","CsK_g2_5","entrenamiento_3","Entr_3",4.5,0.8,7.3,5.5,3,2.5,NA,NA,1,0,0.133,0.133,NA,18,2.851,0.158,NA,0.358,0.445,2,2,"Sal-CUMS-K"
"1133","CsK_g2_5","entrenamiento_3","Entr_3",0,0.7,5,0,4.3,0,NA,NA,1,0,0.562,0.562,NA,5.7,0.614,0.108,NA,0.162,0.695,2.25,2,"Sal-CUMS-K"
"1134","CsK_g2_5","entrenamiento_3","Entr_3",4.1,4.3,6.6,0,5.3,3.3,NA,NA,1,0,0.288,0.288,NA,15,2.497,0.167,NA,0.363,0.41,2.5,2,"Sal-CUMS-K"
"1135","CsK_g2_5","entrenamiento_3","Entr_3",0,0,3.8,1.7,2.9,0,NA,NA,1,0,0.738,0.738,NA,5.5,0.584,0.106,NA,0.277,0.73,2.75,2,"Sal-CUMS-K"
"1136","CK_g2_3","entrenamiento_3","Entr_3",3.7,0,13.1,22.5,5.8,3.4,NA,NA,1,1,0.088,0.088,0.181,39.3,6.449,0.164,NA,0.406,0.551,2,2,"Ket-CUMS"
"1137","CK_g2_3","entrenamiento_3","Entr_3",0,0,4.1,0,2.8,0,NA,NA,1,0,0.911,0.911,NA,4.1,0.288,0.07,NA,0.162,0.664,2.25,2,"Ket-CUMS"
"1138","CK_g2_3","entrenamiento_3","Entr_3",2.1,0,10.7,10.2,7.6,1.9,NA,NA,2,1,0.199,0.199,0.905,22.9,3.455,0.151,NA,0.333,0.592,2.5,2,"Ket-CUMS"
"1139","CK_g2_3","entrenamiento_3","Entr_3",0,0,10,7.9,6.2,0,NA,NA,1,0,0.2,0.2,NA,17.9,2.405,0.135,NA,0.274,0.638,2.75,2,"Ket-CUMS"
"1140","CK_g2_4","entrenamiento_3","Entr_3",2.8,3.7,17.4,19.3,11.7,1.2,NA,NA,1,0,0.099,0.099,NA,43.1,6.049,0.14,NA,0.333,0.554,2,2,"Ket-CUMS"
